"Column Name","Label"
"B11012_013EA","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:"
"B11012_013M","Margin of Error!!Total:!!Male householder, no spouse or partner present:"
"B11012_013MA","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:"
"B11012_014E","Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone"
"B11012_014M","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone"
"B11012_014MA","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone"
"B11012_014EA","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone"
"B11012_015E","Estimate!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years"
"B11012_015M","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years"
"B11012_015MA","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years"
"B11012_015EA","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years"
"B11012_016E","Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_016M","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_016MA","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_016EA","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_017E","Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present"
"B11012_017EA","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present"
"B11012_017M","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present"
"B11012_017MA","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present"
